net,length_um
_0646_,59.22
_0324_,58.96
_0258_,58.86
_0745_,58.66
_0288_,58.08
_0677_,57.87
_2093_,57.2
_0239_,56.98
_2154_,56.84
_0718_,56.66
_0746_,56.6
_1046_,56.29
_0312_,55.55
_0266_,55.36
_0343_,54.84
_0541_,54.8
_2039_,54.78
_0363_,54.58
_0634_,54.58
_2188_,54.36
_0728_,54.24
_0657_,54.12
_2099_,53.98
_0579_,53.66
_0318_,53.44
_0206_,53.42
_2113_,53.42
_1703_,53.04
_1876_,53.02
_1965_,53
_0587_,52.38
_2181_,52.38
_0294_,52.35
_0309_,51.965
_0611_,51.96
_0297_,51.91
_0267_,51.9
_0291_,51.9
_0348_,51.88
_0757_,51.88
_2109_,51.74
_2150_,51.5
_0230_,51.33
_0251_,50.66
_0362_,50.58
_2173_,50.54
_2129_,50.5
_2180_,50.04
_0613_,48.92
_0738_,48.92
_0353_,48.66
_0313_,48.64
_0361_,48.6
_0704_,48.32
_0257_,48.14
_1664_,47.88
_0596_,47.56
_1741_,47.4
_1667_,47.14
_1034_,46.64
_0245_,46.38
_1816_,46.38
_2053_,46.32
net1039,46.22
_1975_,45.96
_0282_,45.94
_0347_,45.88
_0580_,45.62
_0705_,45.23
_0667_,44.88
_0248_,44.5
_0754_,44.46
_0572_,44.4
_2025_,44.22
_0659_,43.24
_0713_,43
_2186_,42.7
_1721_,42.48
_0236_,42.44
_0756_,42.4
_1647_,42.12
_0252_,41.84
_0625_,41.7
_1908_,41.5
_0231_,41.48
_0749_,41.4
_1846_,41.3
_0703_,41.28
_0581_,41.15
_0366_,41.08
_1459_,40.78
_2087_,40.7
_1377_,40.4
_1640_,40.38
_0222_,40.34
_0697_,40.3
_0575_,40.22
_0109_,40.14
net1041,40.12
_0281_,40
_2107_,39.92
_0201_,39.82
_1692_,39.7
in_data[432],39.61
_1746_,39.56
_2130_,39.36
_0701_,39.34
_0725_,39.32
_1779_,39.22
_0198_,39.1
_0325_,38.9
_1977_,38.9
_1839_,38.88
_2079_,38.78
_1613_,38.44
_1519_,38.12
_1987_,38.06
_0227_,37.9
_1190_,37.9
_1653_,37.9
_1988_,37.83
_0642_,37.74
_0747_,37.69
_0226_,37.68
_0246_,37.68
_0702_,37.58
_0299_,37.56
_1949_,37.48
_1880_,37.46
_1674_,37.3
_1974_,37.06
_0341_,36.98
_2060_,36.96
_2034_,36.86
_2023_,36.72
_0907_,36.38
_2170_,36.16
_0285_,35.96
_2016_,35.9
_0199_,35.8
_2073_,35.8
_0212_,35.76
_1644_,35.74
_1422_,35.68
_1918_,35.5
_1350_,35.41
_1711_,35.26
in_data[137],35.19
_0204_,35.08
_1736_,35.08
_1348_,35.06
_1390_,35.02
_2080_,34.9
_0097_,34.82
_1358_,34.82
in_data[218],34.75
_1792_,34.72
_2017_,34.72
_0683_,34.64
_2075_,34.62
_2058_,34.6
_2121_,34.52
_1948_,34.38
_1947_,34.34
_0334_,34.2
in_data[176],33.94
_0310_,33.7
_0365_,33.48
_0567_,33.48
_1950_,33.3
_0354_,33.28
_0835_,33.18
net1068,33.18
_0243_,33.12
_0643_,33.1
_0594_,33.08
in_data[59],33.07
_0684_,33.04
_1685_,33.04
in_data[720],32.99
_0370_,32.715
_0715_,32.6
_0475_,32.5
_1999_,32.5
_0714_,32.48
_1673_,32.44
_2196_,32.38
_1336_,32.36
_1091_,32.28
in_data[726],32.09
_0649_,32.06
_0532_,31.96
_2069_,31.96
_1860_,31.92
_1781_,31.9
_1041_,31.8
_2143_,31.66
_1304_,31.62
_2012_,31.6
_0360_,31.58
_2106_,31.54
_1872_,31.52
_0620_,31.48
_1518_,31.42
_2120_,31.41
_0215_,31.4
_1712_,31.26
_2101_,31.24
_0639_,31.16
_2179_,31.16
_1312_,31.14
_0242_,31.1
_1911_,30.97
_0261_,30.94
in_data[126],30.9
_1680_,30.68
_2178_,30.64
_1807_,30.54
in_data[890],30.53
in_data[563],30.48
_1302_,30.44
_1184_,30.42
_1849_,30.4
_0307_,30.32
_0359_,30.32
_1929_,30.3
_0732_,30.2
_0758_,30.18
_1808_,30.18
_2068_,30.18
_2061_,30.16
_1669_,30.14
_1889_,29.94
_1972_,29.92
_2043_,29.83
_0730_,29.74
_1386_,29.66
net1046,29.66
net1058,29.66
in_data[735],29.49
_2103_,29.4
_1817_,29.32
_1709_,29.06
_0595_,29.02
_1701_,29.02
_1778_,28.98
_1850_,28.98
_0357_,28.93
_1426_,28.9
_2135_,28.9
in_data[114],28.88
_2037_,28.82
_2059_,28.58
_0604_,28.56
_1343_,28.52
_0339_,28.5
_1530_,28.48
in_data[212],28.47
_0586_,28.42
in_data[493],28.26
_1551_,28.24
_0950_,28.04
_0112_,28.02
net1042,27.82
_2199_,27.76
_1520_,27.72
_0516_,27.68
_1148_,27.58
_0673_,27.56
_1702_,27.56
_2126_,27.5
_1436_,27.31
_0687_,27.26
_1575_,27.26
_1175_,27.22
net1057,27.2
_1638_,27.1
_0476_,27.06
net1060,26.96
_2050_,26.88
_0727_,26.84
_2010_,26.66
net1044,26.64
net1040,26.56
_0256_,26.54
_1287_,26.54
_1785_,26.5
_0573_,26.44
_0676_,26.42
_0283_,26.24
_2148_,26.24
net1056,26.22
_1913_,26.2
_0275_,26.1
_0873_,26.1
_0278_,26.06
net1045,26.04
_0488_,26.02
_1697_,26
_1842_,25.94
_0685_,25.88
_0284_,25.64
_2033_,25.64
_1705_,25.6
_1758_,25.56
_0734_,25.52
_2024_,25.48
_1056_,25.46
_1298_,25.46
_0235_,25.45
_2081_,25.36
_2098_,25.28
_0609_,25.21
_1639_,25.14
in_data[578],25.12
net1075,25.115
_0117_,25.06
_2142_,25.06
_2200_,24.96
_1848_,24.73
_2168_,24.72
_0240_,24.64
_2117_,24.6
_1617_,24.48
_0742_,24.46
_1856_,24.4
_1637_,24.38
_0641_,24.37
_0477_,24.26
_1684_,24.2
_1132_,24.19
_0570_,24.18
_0736_,24.14
_1574_,24.14
_0678_,24.04
_1847_,23.96
_0289_,23.88
_0751_,23.8
_1897_,23.72
in_data[986],23.66
_1451_,23.64
_1823_,23.64
_0652_,23.58
net1043,23.58
_2156_,23.5
_1896_,23.42
net1080,23.4
_0935_,23.38
_0744_,23.3
_0332_,23.24
_2112_,23.24
_0273_,22.98
_1962_,22.955
_2131_,22.88
_0669_,22.86
_1178_,22.86
_0189_,22.84
_1582_,22.84
_0831_,22.74
in_data[249],22.74
_0287_,22.72
_0660_,22.72
_1269_,22.72
_2123_,22.68
_0740_,22.54
_1985_,22.54
_0867_,22.52
_1464_,22.5
_1765_,22.5
_1668_,22.48
_1998_,22.46
_0265_,22.4
_1496_,22.28
_0511_,22.14
net1062,22.1
in_data[737],22.07
_2175_,22.02
_0889_,21.94
_0518_,21.92
_0929_,21.86
_1621_,21.82
_2028_,21.78
_0244_,21.54
_1868_,21.48
_0306_,21.46
_1183_,21.4
_1134_,21.38
_0338_,21.28
_1501_,21.24
_2161_,21.24
_0883_,21.2
_1939_,21.2
_1555_,21.18
_0560_,21.16
_1720_,21.16
_0173_,20.76
net1050,20.76
_0342_,20.74
_1665_,20.7
_1073_,20.68
_1884_,20.68
_2207_,20.62
_1870_,20.56
_0202_,20.48
_1226_,20.48
_0504_,20.46
_0069_,20.42
_0290_,20.38
_0680_,20.34
_0737_,20.34
_0857_,20.32
_1276_,20.28
in_data[100],20.26
_0542_,20.22
_0735_,20.18
net1074,20.18
_1937_,20.16
_1840_,20.14
_0622_,20.1
_1865_,20.04
_1325_,20
_1636_,19.915
_0213_,19.88
in_data[121],19.86
_1761_,19.84
_2110_,19.82
_1938_,19.8
_0089_,19.74
_1845_,19.74
in_data[740],19.68
_0879_,19.64
_1775_,19.64
_2183_,19.6
_2095_,19.58
_1559_,19.525
_0953_,19.52
_2136_,19.52
in_data[576],19.52
_1557_,19.515
_0694_,19.48
_1373_,19.46
_1798_,19.435
_2104_,19.42
_1086_,19.41
_1735_,19.4
_2027_,19.4
_0699_,19.38
_1734_,19.3
_2045_,19.24
_2124_,19.2
_2108_,19.18
_1851_,19.08
_0506_,19.06
_1871_,19.06
in_data[922],19.06
_1916_,18.98
_1232_,18.96
_1787_,18.96
_0302_,18.94
_0621_,18.94
_1690_,18.86
_1130_,18.82
_1250_,18.82
_1517_,18.82
_1266_,18.78
_1738_,18.7
_1892_,18.66
_1067_,18.62
_0658_,18.48
_1322_,18.48
_1960_,18.44
